tweet_id, retweet_count, favorite_count 
819015331746349057,18905,0
819006400881917954,18905,45139
819004803107983360,36721,86638
818646164899774465,20894,0
818627210458333184,7512,22322
818614493328580609,2540,9797
818588835076603904,6100,0
818536468981415936,2445,10851
818307523543449600,8026,0
818259473185828864,2252,10974
818145370475810820,2561,12227
817908911860748288,800,4842
817827839487737858,26967,51490
817777686764523521,2677,10717
817536400337801217,2947,11737
817502432452313088,3373,0
817423860136083457,14637,33709
817415592588222464,941,5575
817181837579653120,8444,0
817171292965273600,2016,8738
817120970343411712,2583,12192
817056546584727552,1637,8567
816829038950027264,4706,0
816816676327063552,2034,9981
816697700272001025,2178,9754
816450570814898180,8026,30350
816336735214911488,1941,8583
816091915477250048,2132,8914
816062466425819140,1013,0
816014286006976512,5250,0
815990720817401858,1013,4943
815966073409433600,8444,22353
815745968457060357,4118,0
815736392542261248,2257,9836
815639385530101762,1648,8208
815390420867969024,3806,10338
814986499976527872,1276,7647
814638523311648768,2691,11253
814578408554463233,5829,0
814530161257443328,1862,8633
814153002265309185,8665,28739
813944609378369540,3185,0
813910438903693312,1864,9292
813812741911748608,13960,36373
813800681631023104,1757,8316
813217897535406080,7283,18620
813202720496779264,1816,9226
813187593374461952,4352,19850
813172488309972993,1925,9253
813157409116065792,2218,7771
813142292504645637,2384,8481
813130366689148928,450,4473
813127251579564032,3135,11823
813112105746448384,2736,10297
813096984823349248,3634,10574
813081950185472002,2789,9889
813066809284972545,1959,7938
813051746834595840,7366,20981
812781120811126785,1907,7572
812747805718642688,,
812709060537683968,1436,6616
812503143955202048,1219,6068
812466873996607488,1939,7961
812372279581671427,3659,13656
811985624773361665,1402,7268
811744202451197953,1594,7543
811647686436880384,744,5607
811627233043480576,3084,12776
811386762094317568,6401,20929
810984652412424192,1445,5329
810896069567610880,1774,9002
810657578271330305,2652,10969
810284430598270976,11274,35226
810254108431155201,3381,14693
809920764300447744,3947,15573
809808892968534016,4896,0
809448704142938112,1470,6951
809220051211603969,5609,19936
809084759137812480,3540,13234
808838249661788160,3046,10143
808733504066486276,2169,7907
808501579447930884,2603,11338
808344865868283904,20894,42640
808134635716833280,5928,0
808106460588765185,2216,8821
808001312164028416,3551,12553
807621403335917568,3618,14598
807106840509214720,55445,118403
807059379405148160,7359,0
807010152071229440,3873,13106
806629075125202948,34692,74721
806620845233815552,5545,0
806576416489959424,1962,4907
806542213899489280,2366,10233
806242860592926720,11632,0
806219024703037440,1198,6452
805958939288408065,5385,0
805932879469572096,1929,8298
805826884734976000,1825,6575
805823200554876929,8023,0
805520635690676224,1662,5771
805487436403003392,2534,8810
805207613751304193,1726,7853
804738756058218496,3823,13733
804475857670639616,2016,6136
804413760345620481,3248,0
804026241225523202,16156,44522
803773340896923648,2755,10081
803692223237865472,7449,0
803638050916102144,4157,10973
803380650405482500,1881,7785
803321560782307329,5336,0
803276597545603072,2462,10045
802952499103731712,2006,9031
802624713319034886,2923,0
802600418706604034,1473,7118
802572683846291456,2514,8957
802323869084381190,5838,16220
802265048156610565,1380,6771
802247111496568832,,
802239329049477120,2633,9101
802185808107208704,274,0
801958328846974976,1723,7773
801854953262350336,237,1792
801538201127157760,2075,8246
801285448605831168,819,6058
801167903437357056,5928,24507
801127390143516673,3969,0
801115127852503040,2111,8090
800859414831898624,98,691
800855607700029440,1618,0
800751577355128832,2809,10597
800513324630806528,2996,13165
800459316964663297,2183,9539
800443802682937345,4335,0
800388270626521089,2819,11174
800188575492947969,3956,0
800141422401830912,2557,15311
800018252395122689,13198,28434
799774291445383169,4702,0
799757965289017345,2176,8411
799422933579902976,1938,8098
799308762079035393,5485,0
799297110730567681,2771,9901
799063482566066176,2486,8094
798933969379225600,4472,13110
798925684722855936,1444,7534
798705661114773508,6658,0
798701998996647937,7798,0
